                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4021,                0.89191,                 1.5015,                 0.7339,                0.81999,                0.85898,                0.50017,                 1.4335,                0.93013,                 1.5507,             0.00052862,             0.00052862,             0.00052862
                     36,                 1.4063,                0.86647,                 1.5037,                 0.7339,                0.81999,                0.85898,                0.50017,                 1.4335,                0.93013,                 1.5507,             0.00054302,             0.00054302,             0.00054302
                     37,                  1.363,                0.88529,                 1.6022,                0.80111,                0.88248,                0.88113,                0.51545,                 1.4289,                0.92039,                 1.5326,             0.00055734,             0.00055734,             0.00055734
                     38,                 1.3147,                0.83816,                 1.5195,                0.80111,                0.88248,                0.88113,                0.51545,                 1.4289,                0.92039,                 1.5326,              0.0005716,              0.0005716,              0.0005716
                     39,                  1.339,                 0.8941,                 1.5851,                0.79034,                0.87857,                0.88299,                0.51575,                 1.4202,                 0.9219,                 1.5266,              0.0005858,              0.0005858,              0.0005858
                     40,                 1.3031,                0.84624,                 1.5545,                0.79034,                0.87857,                0.88299,                0.51575,                 1.4202,                 0.9219,                 1.5266,             0.00059993,             0.00059993,             0.00059993
                     41,                  1.403,                 0.8702,                 1.5539,                0.86201,                0.79627,                0.89056,                0.53476,                  1.409,                0.94464,                 1.5191,             0.00061399,             0.00061399,             0.00061399
                     42,                 1.3861,                0.88588,                 1.5791,                0.86201,                0.79627,                0.89056,                0.53476,                  1.409,                0.94464,                 1.5191,             0.00062799,             0.00062799,             0.00062799
                     43,                 1.4345,                0.87188,                 1.4821,                  0.857,                0.83981,                 0.9127,                0.53336,                 1.4547,                 0.9946,                 1.5285,             0.00064192,             0.00064192,             0.00064192
                     44,                 1.4038,                0.91852,                 1.6342,                  0.857,                0.83981,                 0.9127,                0.53336,                 1.4547,                 0.9946,                 1.5285,             0.00065578,             0.00065578,             0.00065578
                     45,                 1.3667,                0.90233,                  1.502,                0.82171,                0.87248,                0.89723,                0.52933,                 1.4886,                 1.0425,                 1.5468,             0.00066958,             0.00066958,             0.00066958
                     46,                 1.4095,                0.87076,                 1.6136,                0.82171,                0.87248,                0.89723,                0.52933,                 1.4886,                 1.0425,                 1.5468,             0.00068331,             0.00068331,             0.00068331
                     47,                 1.4109,                0.84571,                 1.5516,                0.77601,                0.82037,                0.86914,                0.52754,                 1.4356,                 1.0729,                 1.5264,             0.00069698,             0.00069698,             0.00069698
                     48,                 1.2656,                 0.8961,                 1.4963,                0.77601,                0.82037,                0.86914,                0.52754,                 1.4356,                 1.0729,                 1.5264,             0.00071058,             0.00071058,             0.00071058
                     49,                 1.4097,                0.90028,                 1.5902,                0.78072,                0.80326,                0.85065,                0.48922,                 1.4114,                 1.1186,                 1.5335,             0.00072411,             0.00072411,             0.00072411
                     50,                 1.3297,                0.83839,                 1.5096,                0.78072,                0.80326,                0.85065,                0.48922,                 1.4114,                 1.1186,                 1.5335,             0.00073758,             0.00073758,             0.00073758
                     51,                 1.4671,                0.85354,                 1.4643,                0.78147,                0.85586,                0.83246,                0.44564,                 1.4304,                 1.1171,                 1.5482,             0.00075098,             0.00075098,             0.00075098
                     52,                 1.3445,                0.92322,                 1.5261,                0.78147,                0.85586,                0.83246,                0.44564,                 1.4304,                 1.1171,                 1.5482,             0.00076432,             0.00076432,             0.00076432
                     53,                 1.4374,                0.89295,                 1.5243,                0.78147,                0.85586,                0.83246,                0.44564,                 1.4304,                 1.1171,                 1.5482,             0.00077759,             0.00077759,             0.00077759
                     54,                 1.3524,                 0.9145,                 1.5637,                0.90799,                0.84671,                0.90386,                0.48015,                 1.4278,                0.98066,                 1.5424,             0.00079079,             0.00079079,             0.00079079
                     55,                 1.3344,                0.81689,                 1.4499,                0.90799,                0.84671,                0.90386,                0.48015,                 1.4278,                0.98066,                 1.5424,             0.00080393,             0.00080393,             0.00080393
                     56,                 1.3458,                0.88387,                 1.5597,                0.90799,                0.84671,                0.90386,                0.48015,                 1.4278,                0.98066,                 1.5424,             0.00081701,             0.00081701,             0.00081701
                     57,                 1.4024,                0.83938,                 1.4789,                0.89435,                0.79696,                0.88551,                0.55303,                 1.4328,                0.90212,                 1.5363,             0.00083001,             0.00083001,             0.00083001
                     58,                 1.3398,                0.83877,                 1.4939,                0.89435,                0.79696,                0.88551,                0.55303,                 1.4328,                0.90212,                 1.5363,             0.00084295,             0.00084295,             0.00084295
                     59,                 1.3597,                0.82186,                 1.5066,                0.89435,                0.79696,                0.88551,                0.55303,                 1.4328,                0.90212,                 1.5363,             0.00085583,             0.00085583,             0.00085583
                     60,                 1.3182,                0.81319,                 1.4505,                0.85159,                0.88129,                0.91938,                0.56755,                 1.5059,                0.88525,                 1.5636,             0.00086863,             0.00086863,             0.00086863
                     61,                  1.363,                0.83048,                 1.5507,                0.85159,                0.88129,                0.91938,                0.56755,                 1.5059,                0.88525,                 1.5636,             0.00088138,             0.00088138,             0.00088138
                     62,                 1.4269,                0.90007,                 1.5849,                0.85159,                0.88129,                0.91938,                0.56755,                 1.5059,                0.88525,                 1.5636,             0.00089405,             0.00089405,             0.00089405
                     63,                 1.3245,                0.88169,                 1.5447,                0.95146,                0.81182,                0.91389,                0.53123,                 1.4904,                0.92094,                 1.5635,             0.00090666,             0.00090666,             0.00090666
                     64,                 1.4438,                0.98232,                 1.5796,                0.95146,                0.81182,                0.91389,                0.53123,                 1.4904,                0.92094,                 1.5635,             0.00091921,             0.00091921,             0.00091921
                     65,                 1.3912,                0.91425,                 1.5643,                0.95146,                0.81182,                0.91389,                0.53123,                 1.4904,                0.92094,                 1.5635,             0.00093168,             0.00093168,             0.00093168
                     66,                 1.3869,                 0.8193,                 1.4768,                0.79555,                0.80297,                0.83341,                0.49308,                  1.491,                0.96631,                  1.579,              0.0009441,              0.0009441,              0.0009441
                     67,                 1.3854,                0.89325,                 1.5334,                0.79555,                0.80297,                0.83341,                0.49308,                  1.491,                0.96631,                  1.579,             0.00095644,             0.00095644,             0.00095644
                     68,                 1.3842,                0.91528,                 1.5915,                0.79555,                0.80297,                0.83341,                0.49308,                  1.491,                0.96631,                  1.579,             0.00096872,             0.00096872,             0.00096872
                     69,                 1.3096,                 0.8563,                 1.4903,                 0.8675,                 0.7434,                0.86171,                0.51311,                 1.4186,                0.93123,                 1.5557,             0.00098094,             0.00098094,             0.00098094
                     70,                 1.3655,                0.85755,                 1.4897,                 0.8675,                 0.7434,                0.86171,                0.51311,                 1.4186,                0.93123,                 1.5557,             0.00099309,             0.00099309,             0.00099309
                     71,                 1.4376,                0.94912,                 1.6099,                 0.8675,                 0.7434,                0.86171,                0.51311,                 1.4186,                0.93123,                 1.5557,              0.0010052,              0.0010052,              0.0010052
                     72,                  1.381,                0.92815,                 1.5722,                0.90575,                0.79139,                0.91829,                0.50003,                 1.4098,                0.89105,                 1.5218,              0.0010172,              0.0010172,              0.0010172
                     73,                   1.45,                0.86338,                 1.5192,                0.90575,                0.79139,                0.91829,                0.50003,                 1.4098,                0.89105,                 1.5218,              0.0010291,              0.0010291,              0.0010291
                     74,                 1.4253,                0.96075,                 1.5746,                0.90575,                0.79139,                0.91829,                0.50003,                 1.4098,                0.89105,                 1.5218,               0.001041,               0.001041,               0.001041
                     75,                  1.342,                0.82543,                  1.505,                0.84561,                0.84969,                0.93631,                 0.4967,                 1.5061,                0.89145,                 1.5352,              0.0010528,              0.0010528,              0.0010528
                     76,                 1.3964,                0.87493,                 1.5125,                0.84561,                0.84969,                0.93631,                 0.4967,                 1.5061,                0.89145,                 1.5352,              0.0010646,              0.0010646,              0.0010646
                     77,                  1.411,                0.85926,                 1.4976,                0.84561,                0.84969,                0.93631,                 0.4967,                 1.5061,                0.89145,                 1.5352,              0.0010763,              0.0010763,              0.0010763
                     78,                 1.4183,                0.87867,                 1.5269,                0.89735,                0.83006,                  0.922,                0.43747,                 1.5684,                0.93271,                 1.5709,              0.0010879,              0.0010879,              0.0010879
                     79,                  1.311,                0.81697,                 1.5029,                0.89735,                0.83006,                  0.922,                0.43747,                 1.5684,                0.93271,                 1.5709,              0.0010994,              0.0010994,              0.0010994
                     80,                 1.3667,                0.88774,                 1.5199,                0.89735,                0.83006,                  0.922,                0.43747,                 1.5684,                0.93271,                 1.5709,              0.0011109,              0.0011109,              0.0011109
                     81,                 1.3206,                0.81774,                 1.4929,                0.72358,                0.74647,                0.78694,                0.41228,                 1.6299,                0.95607,                 1.6042,              0.0011224,              0.0011224,              0.0011224
                     82,                 1.3428,                0.89333,                 1.5649,                0.72358,                0.74647,                0.78694,                0.41228,                 1.6299,                0.95607,                 1.6042,              0.0011337,              0.0011337,              0.0011337
                     83,                 1.3488,                0.87795,                 1.5398,                0.72358,                0.74647,                0.78694,                0.41228,                 1.6299,                0.95607,                 1.6042,               0.001145,               0.001145,               0.001145
                     84,                 1.4213,                  0.945,                 1.6112,                0.80391,                 0.7659,                0.82099,                0.43726,                 1.5793,                0.92872,                 1.5661,              0.0011562,              0.0011562,              0.0011562
                     85,                  1.336,                0.86906,                 1.4996,                0.80391,                 0.7659,                0.82099,                0.43726,                 1.5793,                0.92872,                 1.5661,              0.0011674,              0.0011674,              0.0011674
                     86,                 1.3214,                 0.8556,                 1.4679,                0.80391,                 0.7659,                0.82099,                0.43726,                 1.5793,                0.92872,                 1.5661,              0.0011785,              0.0011785,              0.0011785
                     87,                 1.2755,                0.82086,                 1.4916,                0.80391,                 0.7659,                0.82099,                0.43726,                 1.5793,                0.92872,                 1.5661,              0.0011895,              0.0011895,              0.0011895
                     88,                 1.3155,                0.83271,                  1.475,                0.77068,                 0.9717,                0.89966,                0.49384,                 1.4946,                0.90525,                  1.498,              0.0012005,              0.0012005,              0.0012005
                     89,                 1.3532,                0.85443,                 1.4982,                0.77068,                 0.9717,                0.89966,                0.49384,                 1.4946,                0.90525,                  1.498,              0.0012114,              0.0012114,              0.0012114
                     90,                 1.2908,                0.84791,                 1.4727,                0.77068,                 0.9717,                0.89966,                0.49384,                 1.4946,                0.90525,                  1.498,              0.0012222,              0.0012222,              0.0012222
                     91,                 1.2775,                0.89276,                 1.5759,                0.77068,                 0.9717,                0.89966,                0.49384,                 1.4946,                0.90525,                  1.498,              0.0012329,              0.0012329,              0.0012329
                     92,                 1.3422,                0.86319,                 1.5348,                0.86642,                0.83099,                0.86949,                0.49754,                 1.4394,                0.90695,                 1.4753,              0.0012436,              0.0012436,              0.0012436
                     93,                 1.3791,                0.86802,                 1.5422,                0.86642,                0.83099,                0.86949,                0.49754,                 1.4394,                0.90695,                 1.4753,              0.0012543,              0.0012543,              0.0012543
                     94,                 1.3969,                0.86335,                 1.5169,                0.86642,                0.83099,                0.86949,                0.49754,                 1.4394,                0.90695,                 1.4753,              0.0012648,              0.0012648,              0.0012648
                     95,                 1.3456,                0.87077,                 1.5091,                0.86642,                0.83099,                0.86949,                0.49754,                 1.4394,                0.90695,                 1.4753,              0.0012753,              0.0012753,              0.0012753
                     96,                 1.3366,                0.85425,                  1.519,                 0.8036,                 0.9034,                0.84715,                 0.5038,                 1.3756,                0.92101,                 1.4611,              0.0012858,              0.0012858,              0.0012858
                     97,                 1.3261,                 0.8161,                 1.4542,                 0.8036,                 0.9034,                0.84715,                 0.5038,                 1.3756,                0.92101,                 1.4611,              0.0012961,              0.0012961,              0.0012961
                     98,                 1.3202,                0.83051,                 1.5031,                 0.8036,                 0.9034,                0.84715,                 0.5038,                 1.3756,                0.92101,                 1.4611,              0.0013064,              0.0013064,              0.0013064
                     99,                 1.3284,                0.81893,                 1.4582,                 0.8036,                 0.9034,                0.84715,                 0.5038,                 1.3756,                0.92101,                 1.4611,              0.0013167,              0.0013167,              0.0013167
                    100,                 1.3805,                0.89315,                 1.5409,                0.72065,                0.87032,                0.83792,                0.49321,                 1.4519,                0.91329,                 1.5133,              0.0013268,              0.0013268,              0.0013268
                    101,                 1.2883,                0.84477,                 1.4644,                0.72065,                0.87032,                0.83792,                0.49321,                 1.4519,                0.91329,                 1.5133,              0.0013369,              0.0013369,              0.0013369
                    102,                 1.3366,                0.85657,                  1.531,                0.72065,                0.87032,                0.83792,                0.49321,                 1.4519,                0.91329,                 1.5133,              0.0013369,              0.0013369,              0.0013369
                    103,                 1.3555,                0.85698,                 1.4594,                0.72065,                0.87032,                0.83792,                0.49321,                 1.4519,                0.91329,                 1.5133,              0.0013336,              0.0013336,              0.0013336
                    104,                 1.3006,                0.80405,                 1.4688,                0.78544,                0.85283,                0.86939,                0.49726,                 1.5286,                0.90206,                 1.5408,              0.0013303,              0.0013303,              0.0013303
                    105,                  1.326,                0.87057,                 1.4499,                0.78544,                0.85283,                0.86939,                0.49726,                 1.5286,                0.90206,                 1.5408,               0.001327,               0.001327,               0.001327
                    106,                 1.3219,                0.83445,                 1.4545,                0.78544,                0.85283,                0.86939,                0.49726,                 1.5286,                0.90206,                 1.5408,              0.0013237,              0.0013237,              0.0013237
                    107,                 1.4205,                0.90418,                 1.4343,                0.78544,                0.85283,                0.86939,                0.49726,                 1.5286,                0.90206,                 1.5408,              0.0013204,              0.0013204,              0.0013204
                    108,                 1.2804,                0.88177,                 1.4637,                0.82478,                 0.8434,                0.85516,                0.48204,                 1.4809,                0.91011,                 1.5105,              0.0013171,              0.0013171,              0.0013171
                    109,                 1.5652,                 0.8951,                 1.5376,                0.82478,                 0.8434,                0.85516,                0.48204,                 1.4809,                0.91011,                 1.5105,              0.0013138,              0.0013138,              0.0013138
                    110,                 1.4233,                0.94834,                 1.5989,                0.82478,                 0.8434,                0.85516,                0.48204,                 1.4809,                0.91011,                 1.5105,              0.0013105,              0.0013105,              0.0013105
                    111,                 1.3079,                0.86304,                 1.5194,                0.82478,                 0.8434,                0.85516,                0.48204,                 1.4809,                0.91011,                 1.5105,              0.0013072,              0.0013072,              0.0013072
                    112,                 1.4034,                0.87977,                 1.5517,                0.76948,                0.89714,                0.86024,                0.49827,                  1.492,                0.86633,                 1.4934,              0.0013039,              0.0013039,              0.0013039
                    113,                 1.3618,                0.86769,                 1.4837,                0.76948,                0.89714,                0.86024,                0.49827,                  1.492,                0.86633,                 1.4934,              0.0013006,              0.0013006,              0.0013006
                    114,                 1.3807,                0.92375,                  1.497,                0.76948,                0.89714,                0.86024,                0.49827,                  1.492,                0.86633,                 1.4934,              0.0012973,              0.0012973,              0.0012973
                    115,                 1.3322,                0.84058,                 1.4598,                0.76948,                0.89714,                0.86024,                0.49827,                  1.492,                0.86633,                 1.4934,               0.001294,               0.001294,               0.001294
                    116,                 1.3833,                0.89018,                 1.5118,                0.81855,                0.85326,                0.90783,                0.51024,                 1.5785,                0.90497,                 1.5165,              0.0012907,              0.0012907,              0.0012907
                    117,                 1.3869,                 0.9402,                 1.6058,                0.81855,                0.85326,                0.90783,                0.51024,                 1.5785,                0.90497,                 1.5165,              0.0012874,              0.0012874,              0.0012874
                    118,                 1.3659,                0.85022,                 1.5404,                0.81855,                0.85326,                0.90783,                0.51024,                 1.5785,                0.90497,                 1.5165,              0.0012841,              0.0012841,              0.0012841
                    119,                 1.3099,                0.85505,                 1.4693,                0.81855,                0.85326,                0.90783,                0.51024,                 1.5785,                0.90497,                 1.5165,              0.0012808,              0.0012808,              0.0012808
                    120,                 1.4318,                0.90127,                 1.4979,                0.87083,                0.80917,                0.90166,                0.43247,                 1.7638,                0.98737,                 1.6024,              0.0012775,              0.0012775,              0.0012775
                    121,                 1.3449,                0.83012,                 1.4359,                0.87083,                0.80917,                0.90166,                0.43247,                 1.7638,                0.98737,                 1.6024,              0.0012742,              0.0012742,              0.0012742
                    122,                 1.3708,                0.87024,                 1.5225,                0.87083,                0.80917,                0.90166,                0.43247,                 1.7638,                0.98737,                 1.6024,              0.0012709,              0.0012709,              0.0012709
                    123,                 1.4092,                0.92576,                 1.5311,                0.87083,                0.80917,                0.90166,                0.43247,                 1.7638,                0.98737,                 1.6024,              0.0012676,              0.0012676,              0.0012676
                    124,                 1.3658,                0.86922,                 1.4764,                0.83802,                0.79306,                0.87575,                0.43658,                  1.625,                0.98602,                 1.5637,              0.0012643,              0.0012643,              0.0012643
                    125,                 1.3713,                0.92184,                 1.5586,                0.83802,                0.79306,                0.87575,                0.43658,                  1.625,                0.98602,                 1.5637,               0.001261,               0.001261,               0.001261
                    126,                 1.3272,                0.86092,                 1.4366,                0.83802,                0.79306,                0.87575,                0.43658,                  1.625,                0.98602,                 1.5637,              0.0012577,              0.0012577,              0.0012577
                    127,                 1.3018,                0.86993,                 1.4326,                0.83802,                0.79306,                0.87575,                0.43658,                  1.625,                0.98602,                 1.5637,              0.0012544,              0.0012544,              0.0012544
                    128,                 1.3413,                0.86079,                  1.535,                0.84366,                0.77923,                0.86479,                0.46057,                 1.4202,                0.98984,                 1.4742,              0.0012511,              0.0012511,              0.0012511
                    129,                 1.4492,                0.90022,                 1.5674,                0.84366,                0.77923,                0.86479,                0.46057,                 1.4202,                0.98984,                 1.4742,              0.0012478,              0.0012478,              0.0012478
                    130,                 1.4925,                0.83411,                 1.4924,                0.84366,                0.77923,                0.86479,                0.46057,                 1.4202,                0.98984,                 1.4742,              0.0012445,              0.0012445,              0.0012445
                    131,                 1.4963,                0.91316,                 1.5602,                0.84366,                0.77923,                0.86479,                0.46057,                 1.4202,                0.98984,                 1.4742,              0.0012412,              0.0012412,              0.0012412
                    132,                 1.4905,                0.90583,                 1.5648,                0.78341,                0.67509,                0.80376,                0.43918,                 1.4567,                 1.0711,                 1.4722,              0.0012379,              0.0012379,              0.0012379
                    133,                 1.6377,                0.84663,                 1.4895,                0.78341,                0.67509,                0.80376,                0.43918,                 1.4567,                 1.0711,                 1.4722,              0.0012346,              0.0012346,              0.0012346
                    134,                 1.4655,                0.93997,                 1.4764,                0.78341,                0.67509,                0.80376,                0.43918,                 1.4567,                 1.0711,                 1.4722,              0.0012313,              0.0012313,              0.0012313
                    135,                 1.4815,                0.88839,                 1.5499,                0.78341,                0.67509,                0.80376,                0.43918,                 1.4567,                 1.0711,                 1.4722,               0.001228,               0.001228,               0.001228
                    136,                 1.3664,                0.92136,                 1.5408,                0.67974,                0.70415,                0.72991,                 0.4325,                 1.4484,                  1.082,                  1.457,              0.0012247,              0.0012247,              0.0012247
                    137,                 1.4266,                0.87393,                 1.5631,                0.67974,                0.70415,                0.72991,                 0.4325,                 1.4484,                  1.082,                  1.457,              0.0012214,              0.0012214,              0.0012214
                    138,                  1.338,                 0.8172,                  1.464,                0.67974,                0.70415,                0.72991,                 0.4325,                 1.4484,                  1.082,                  1.457,              0.0012181,              0.0012181,              0.0012181
                    139,                 1.3729,                0.79483,                 1.4395,                0.67974,                0.70415,                0.72991,                 0.4325,                 1.4484,                  1.082,                  1.457,              0.0012148,              0.0012148,              0.0012148
                    140,                 1.4112,                 0.8294,                 1.4643,                0.62817,                0.84843,                0.76159,                0.43739,                 1.6009,                 1.0818,                 1.5255,              0.0012115,              0.0012115,              0.0012115
                    141,                 1.4203,                0.85833,                 1.5578,                0.62817,                0.84843,                0.76159,                0.43739,                 1.6009,                 1.0818,                 1.5255,              0.0012082,              0.0012082,              0.0012082
                    142,                 1.4217,                0.90619,                 1.5635,                0.62817,                0.84843,                0.76159,                0.43739,                 1.6009,                 1.0818,                 1.5255,              0.0012049,              0.0012049,              0.0012049
                    143,                 1.4231,                0.84713,                  1.485,                0.62817,                0.84843,                0.76159,                0.43739,                 1.6009,                 1.0818,                 1.5255,              0.0012016,              0.0012016,              0.0012016
                    144,                 1.3904,                0.86207,                 1.5376,                0.68734,                0.87893,                0.77131,                 0.3949,                 1.7639,                 1.0538,                 1.5813,              0.0011983,              0.0011983,              0.0011983
                    145,                 1.4562,                0.89866,                 1.6101,                0.68734,                0.87893,                0.77131,                 0.3949,                 1.7639,                 1.0538,                 1.5813,               0.001195,               0.001195,               0.001195
                    146,                 1.3766,                0.87276,                 1.5038,                0.68734,                0.87893,                0.77131,                 0.3949,                 1.7639,                 1.0538,                 1.5813,              0.0011917,              0.0011917,              0.0011917
                    147,                 1.4847,                0.88958,                 1.6197,                0.68734,                0.87893,                0.77131,                 0.3949,                 1.7639,                 1.0538,                 1.5813,              0.0011884,              0.0011884,              0.0011884
                    148,                 1.4969,                 1.0036,                  1.674,                0.81894,                0.84329,                0.84624,                0.42464,                 1.7523,                 1.0236,                 1.5871,              0.0011851,              0.0011851,              0.0011851
                    149,                 1.3541,                0.86933,                 1.5078,                0.81894,                0.84329,                0.84624,                0.42464,                 1.7523,                 1.0236,                 1.5871,              0.0011818,              0.0011818,              0.0011818
                    150,                 1.4204,                0.87252,                 1.4742,                0.81894,                0.84329,                0.84624,                0.42464,                 1.7523,                 1.0236,                 1.5871,              0.0011785,              0.0011785,              0.0011785
                    151,                 1.4128,                0.89554,                 1.4889,                0.81894,                0.84329,                0.84624,                0.42464,                 1.7523,                 1.0236,                 1.5871,              0.0011752,              0.0011752,              0.0011752
                    152,                 1.3717,                0.95618,                 1.5489,                0.89812,                 0.8464,                0.89844,                0.44676,                 1.5785,                0.92563,                 1.5485,              0.0011719,              0.0011719,              0.0011719
                    153,                 1.4278,                 1.0752,                 1.6578,                0.89812,                 0.8464,                0.89844,                0.44676,                 1.5785,                0.92563,                 1.5485,              0.0011686,              0.0011686,              0.0011686
